CHRONOS:9007208466892659
Found 6394 rows between start time: 1652033978 and end time: 1652883578
Ignoring URN 51b8082ed73011e62544a3719cb6a530eba690d5 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN f787e5fcac58371a70d2438909edb0cdce1f7792 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 62db8792343d68020a073eee0b96caf867c05d4c with reason: Invoice was resent with valid XML and urn: ea4ee05834d5fefa0e8ce6f49d4a3b3e57f564c3; this should go away in following runs
Ignoring URN 54647c034ea8fac308ad4f8f5338439dd2ff5819 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN feca411950744b9bb5e36ce628d726fdd40328f7INVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN ff5f1e5848d40e4030a45b785d30a7822a396680INVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN fed52c9d5c523eb9a9440d7bbc6453dcdf4f7b08 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 927408aadd758fed60a8fc1b5b95207579fcf4e7 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 78ed05ffcedc81b1b4723e35b2a10d8c89e921c9 with reason: Missing XML File; this should go away in following runs
Ignoring URN 3498c2971d32f5b972599388924bb3916b5cf9d9 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 988d7ca7f2c7e0af52639cb64eb3d517116e7a4f with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN a232a3eb472712f870c208c94a5986ff0e8e21bb with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN d4d84667df5accc606cd85f0d8083f2bb0e95680 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN a4346c7bdc22adc3f6f228800caaaa1f9ef92cb6 with reason: Invoice was resent with valid XML and urn: 9bca0a012f03b8396a22857c00d4ac89bc113bde; this should go away in following runs
Ignoring URN 9646f11128e587f25b396992310cdd717bfcd5bd with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 15a66210626680b8dd729b2d1c03211d68a9c45d with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN cf1c83358c221eae6c6ac39717a09da7ecabac0c with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 97d24de39b2ae337bef43140a5fe4d178c82b247 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 1bb527f8cbc81668574266aa8c88166e73a9e4dd with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN afbf0f0eae78e27219c0c2126eb707014521cc96 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN d585d1cc51ae0a8ca6b4dee9a1f3d9beaea45950 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 111141ba6f9531543d000593028f07454b049579 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 8459f393a1286b0e7f35dc6f4ed099af514797ea with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 98b135ee139d7b1a0956d88e5b6699e64e82d492 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 59bd7432880d6ab2ab565c9d0489449335d9e8aa with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN c9fe255392aff0830a80c7012ed6098d34bb0bce with reason: Invoice was resent with valid XML and urn: 0ab8a2cba91f4f85cf9f436d4f266467bed64a13; this should go away in following runs
Ignoring URN b480e3618b0e8d5a88428312485649345cf84d7a with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 11d2460a1849653a28ff246cdfc66e60215feed5 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 99fc1f10e123e343b5fb6ac39a3b3754fbc210dd with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN ec492642eed04f2a6573ea1133989a0d33dfa8d6INVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN 205453e5718855ccf9d1e3dee009967a130bf496 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN fd91265c7da13c7d1a26d3290fc5d2fe42320b45 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 270b041ed6054b74cff1f45418595f55e9604ab7 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 5b55bd74d4df25fbb9584c356fbfc38ed73a0daaINVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN a4c35445f71a4a09a6c2cdcf91df7f2bee8515b2 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 455133695765f06fecbc0df647590132441a58d8 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 765116cb728b8472011c8c4e140daffd5c335275 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN fc5af171df66ff9de41ec26d97b16257ae73e30a with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN f98067361bdf89923155f403b6b3848e10bf5493 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 8d1aa337dde7fca68d2a0bde13712fef95847b22 with reason: Invoice was resent with valid XML and urn: a34157e3bf28d8fd80630894bbb93e04df7d7aa4; this should go away in following runs
Ignoring URN 09e012d1efadef0d1c10136f1b24436f34772048 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN bcd2097e687bc67eeafb80089ef980f680201a55 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN dd4d9f1548b1ff687db14ecf396473f1b0a8f46b with reason: Invoice was resent with valid XML and urn: 8eb00931a55e85a00edd3c4e0316daa01131af2b; this should go away in following runs
Ignoring URN 17cf67eec1abd6e1ed2318035ab9610172cb48bc with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 4ba621371f3f79c89d74fda3617cafed3236d1e1 with reason: Invoice was resent with valid XML and urn: eb0d1f908434048c75132c5f2f50ecf6eafcd296; this should go away in following runs
Ignoring URN cc277ff8c359c1cd2c5330c504fd5f8e965b4ec8INVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN d13689e260635d45b09e64df83723ca127c78eb2 with reason: XML is not an invoice; this should go away in following runs
Ignoring URN cfeb2722706ec9dd43430b5b95a415e3554b3143 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 65d7a2e4b2bd431caaf0c40f90730e333bbe2fdd with reason: XML is not an invoice; this should go away in following runs
Ignoring URN 75b3e49eb1c7bf7ea69a017a102faaa10395ddba with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 1a6d8cccb3c0f527aff0cf7f0186ed03c667a33a with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 7a297d5b0a35cc5b6c6c7560ad9109abc5eea2f5 with reason: XML is not an invoice; this should go away in following runs
Ignoring URN 2b0d738c73e8f8f16e7fa1cabab4ef9e4bce53d2 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 8c1892664253376557fdba14005aed061f68c6ff with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 19256ab370f729f0b73e41f0833ae5c06796e2b6 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 6998e50ebecfc7c859203c77119593bc5876de42 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN a43ef4e6e270626590765ad4fe2194707fa90e18 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN a95cd6752e3f4c8fad35ff12cd27f95206610d84 with reason: Invoice was resent with valid XML and urn: a0c3d13f075546d2cdfe183becc84d51d8369820; this should go away in following runs
Ignoring URN 43f3c5c234c71502676d608d2dac6df8a7cbe71b with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN a839772387e3af18310a4f95f28a1126a9dc0aa5 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN fd5eab8929ffc1fff787b70c4de53c3c8d26b0e8 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 10e2cc5d31eac6f7280e9fe16dd332e9f71ec1c8 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN b22a0523618b9040a5fcfbe6f56fb6b62917f58f with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN e899b3f95c88106dc5d165919080efb131c53ab4 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 2683c648cde0cce3b5eea63583c1ac18be7739d6 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN ac988b0f6159605ba6be3ca0cb75ed0db0854903 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN b2089ae9917fa3b804126cbca895179d59f45a5c with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN b837bf6ac76d4a912a32da7396e72e87fb93bea4 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Logging to  Error Grouping INVOICE_STUCK: Error Message: Invoice Amount: $2,288 BRL. Invoice with URN: 66fc1f111662979a962a2fcd2d697c93ca418428 appears to be stuck in Processing 824. Log Message: 
Logging to  Error Grouping INVOICE_STUCK: Error Message: Invoice Amount: $67,348 BRL. Invoice with URN: 25edde7650c86b7e07609f518797e8469f62c263 appears to be stuck in Processing 824. Log Message: 
Logging to  Error Grouping INVOICE_STUCK: Error Message: Invoice Amount: $32,336 BRL. Invoice with URN: e4ef94a36de0b9e13500bd3f39ad259ec10dae2a appears to be stuck in Processing 824. Log Message: 
Logging to  Error Grouping INVOICE_STUCK: Error Message: Invoice Amount: $164 SGD. Invoice with URN: 4a06cae19aece0a26b8c10a71153ef738f652e39 appears to be stuck in Processing 824. Log Message: 
Logging to  Error Grouping INVOICE_STUCK: Error Message: Invoice Amount: $346,073 BRL. Invoice with URN: 2636e233a9217021de8f5b94f26c757990a6ee6b appears to be stuck in Processing 824. Log Message: 
